Business Name,Industry,Phone,Website,Email,City,Rating,Reviews,Lead Score (1-10),Email 1 Sent,Email 2 Sent,Email 3 Sent,Called,Demo Booked,Closed Won,MRR,Notes
[Search: dental clinic Austin TX],Dental,,,,Austin,TX,,,,,,,,,,,"Open https://www.google.com/maps/search/dental+clinic+in+Austin,+TX → click each result → copy info"
[Search: HVAC Austin TX],HVAC,,,,Austin,TX,,,,,,,,,,,"Open https://www.google.com/maps/search/HVAC+in+Austin,+TX"
[Search: plumber Austin TX],Plumbing,,,,Austin,TX,,,,,,,,,,,
[Search: hair salon Austin TX],Salon,,,,Austin,TX,,,,,,,,,,,
[Search: law firm Austin TX],Law,,,,Austin,TX,,,,,,,,,,,
[Search: auto repair Austin TX],Auto Repair,,,,Austin,TX,,,,,,,,,,,
[Search: dental clinic New York NY],Dental,,,,New York,NY,,,,,,,,,,,
[Search: HVAC New York NY],HVAC,,,,New York,NY,,,,,,,,,,,
[Search: plumber New York NY],Plumbing,,,,New York,NY,,,,,,,,,,,
[Search: hair salon New York NY],Salon,,,,New York,NY,,,,,,,,,,,
[Search: law firm New York NY],Law,,,,New York,NY,,,,,,,,,,,
[Search: auto repair New York NY],Auto Repair,,,,New York,NY,,,,,,,,,,,
[Search: dental clinic Los Angeles CA],Dental,,,,Los Angeles,CA,,,,,,,,,,,
[Search: HVAC Los Angeles CA],HVAC,,,,Los Angeles,CA,,,,,,,,,,,
[Search: plumber Los Angeles CA],Plumbing,,,,Los Angeles,CA,,,,,,,,,,,
[Search: hair salon Los Angeles CA],Salon,,,,Los Angeles,CA,,,,,,,,,,,
[Search: law firm Los Angeles CA],Law,,,,Los Angeles,CA,,,,,,,,,,,
[Search: auto repair Los Angeles CA],Auto Repair,,,,Los Angeles,CA,,,,,,,,,,,
[Search: dental clinic Houston TX],Dental,,,,Houston,TX,,,,,,,,,,,
[Search: HVAC Houston TX],HVAC,,,,Houston,TX,,,,,,,,,,,
[Search: plumber Houston TX],Plumbing,,,,Houston,TX,,,,,,,,,,,
[Search: hair salon Houston TX],Salon,,,,Houston,TX,,,,,,,,,,,
[Search: law firm Houston TX],Law,,,,Houston,TX,,,,,,,,,,,
[Search: auto repair Houston TX],Auto Repair,,,,Houston,TX,,,,,,,,,,,
[Search: dental clinic Chicago IL],Dental,,,,Chicago,IL,,,,,,,,,,,
[Search: HVAC Chicago IL],HVAC,,,,Chicago,IL,,,,,,,,,,,
[Search: plumber Chicago IL],Plumbing,,,,Chicago,IL,,,,,,,,,,,
